"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"38230",0,"3691",1,
"38240",0,"3691",1,
"38250",0,"3691",1,
"38310",0,"3692",1,
"38320",0,"3692",1,
"38330",0,"3692",1,
"38340",0,"3692",1,
"38350",0,"3692",1,
"38360",0,"3692",1,
"38410",0,"3693",1,
"38420",0,"3693",1,
"38430",0,"3693",1,
"38440",0,"3693",1,
"38450",0,"3693",1,
"38510",0,"3694",1,
"38520",0,"3694",1,
"38530",0,"3694",1,
"38540",0,"3694",1,
"38550",0,"3694",1,
"38560",0,"3694",1,
"38570",0,"3694",1,
"38580",0,"3694",1,
"38590",0,"3694",1,
"38600",0,"3699",1,
"38700",0,"2811",1,
"38911",0,"3699",1,
"38912",0,"3699",1,
"38921",0,"3699",1,
"38922",0,"3699",1,
"38923",0,"3699",1,
"38924",0,"3699",1,
"38930",0,"3699",1,
"38941",0,"7494",1,
"38942",0,"7494",1,
"38950",0,"9211",1,
"38960",0,"9214",1,
"38971",0,"9302",1,
"38972",0,"3699",1,
"38991",0,"3699",1,
"38992",0,"3699",1,
"38993",0,"3699",1,
"38994",0,"3699",1,
"38995",0,"3699",1,
"38996",0,"3699",1,
"38997",0,"3699",1,
"38998",0,"3699",1,
"38999",0,"3699",1,
"41111",0,"2710",1,
"41112",0,"2710",1,
"41113",0,"2710",1,
"41114",0,"2710",1,
"41115",0,"2710",1,
"41116",0,"2710",1,
"41121",0,"2710",1,
"41122",0,"2710",1,
"41211",0,"2710",1,
"41212",0,"2710",1,
"41213",0,"2710",1,
"41214",0,"2710",1,
"41221",0,"2710",1,
"41222",0,"2710",1,
"41223",0,"2710",1,
"41224",0,"2710",1,
"41231",0,"2710",1,
"41232",0,"2710",1,
"41233",0,"2710",1,
"41234",0,"2710",1,
"41235",0,"2710",1,
"41241",0,"2710",1,
"41242",0,"2710",1,
"41243",0,"2710",1,
"41244",0,"2710",1,
"41251",0,"2710",1,
"41252",0,"2710",1,
"41253",0,"2710",1,
"41261",0,"2710",1,
"41262",0,"2710",1,
"41263",0,"2710",1,
"41264",0,"2710",1,
"41265",0,"2710",1,
"41266",0,"2710",1,
"41271",0,"2710",1,
"41272",0,"2710",1,
"41273",0,"2710",1,
"41274",0,"2710",1,
"41275",0,"2710",1,
"41276",0,"2710",1,
"41277",0,"2710",1,
"41278",0,"2710",1,
"41310",0,"2720",1,
"41320",0,"2720",1,
"41330",0,"2720",1,
"41340",0,"2720",1,
"41350",0,"2720",1,
"41411",0,"2720",1,
"41412",0,"2720",1,
"41413",0,"2720",1,
"41421",0,"2720",1,
"41422",0,"2720",1,
"41431",0,"2720",1,
"41432",0,"2720",1,
"41441",0,"2720",1,
"41442",0,"2720",1,
"41443",0,"2720",1,
"41511",0,"2720",1,
"41512",0,"2720",1,
"41513",0,"2720",1,
"41514",0,"2720",1,
"41515",0,"2720",1,
"41516",0,"2720",1,
"41521",0,"2720",1,
"41522",0,"2720",1,
"41523",0,"2720",1,
"41524",0,"2720",1,
"41531",0,"2720",1,
"41532",0,"2720",1,
"41533",0,"2720",1,
"41534",0,"2720",1,
"41535",0,"2720",1,
"41536",0,"2720",1,
"41541",0,"2720",1,
"41542",0,"2720",1,
"41543",0,"2720",1,
"41544",0,"2720",1,
"41545",0,"2720",1,
"41546",0,"2720",1,
"41547",0,"2720",1,
"41548",0,"2720",1,
"41549",0,"2720",1,
"41601",0,"2720",1,
"41602",0,"2720",1,
"41603",0,"2720",1,
"41604",0,"2720",1,
"42110",0,"2811",1,
"42120",0,"2811",1,
"42190",0,"2811",1,
"42210",0,"2812",1,
"42220",0,"2812",1,
"42310",0,"2813",1,
"42320",0,"2813",1,
"42330",0,"2813",1,
"42341",0,"2813",1,
"42342",0,"2813",1,
"42911",0,"2899",1,
"42912",0,"2899",1,
"42913",0,"2893",1,
"42914",0,"2893",1,
"42915",0,"2893",1,
"42916",0,"2893",1,
"42921",0,"2893",1,
"42922",0,"2893",1,
"42931",0,"2899",1,
"42932",0,"2899",1,
"42941",0,"2899",1,
"42942",0,"2899",1,
"42943",0,"2899",1,
"42944",0,"2899",1,
"42945",0,"2899",1,
"42946",0,"2899",1,
"42950",0,"2899",1,
"42991",0,"2899",1,
"42992",0,"2893",1,
"42993",0,"2899",1,
"42994",0,"2899",1,
"42995",0,"2899",1,
"42996",0,"2899",1,
"42997",0,"2899",1,
"42998",0,"2899",1,
"42999",0,"2899",1,
"43110",0,"2911",1,
"43121",0,"3410",1,
"43122",0,"3410",1,
"43123",0,"3410",1,
"43131",0,"3530",1,
"43132",0,"3530",1,
"43133",0,"3530",1,
"43134",0,"3530",1,
"43141",0,"2911",1,
"43142",0,"2911",1,
"43143",0,"2911",1,
"43151",0,"3430",1,
"43152",0,"3530",1,
"43153",0,"2911",1,
"43154",0,"2911",1,
"43155",0,"3530",1,
"43156",0,"2911",1,
"43211",0,"2912",1,
"43212",0,"2912",1,
"43220",0,"2912",1,
"43230",0,"2912",1,
"43240",0,"2912",1,
"43251",0,"2912",1,
"43252",0,"2912",1,
"43253",0,"2912",1,
"43254",0,"2912",1,
"43310",0,"2913",1,
"43320",0,"2913",1,
"43331",0,"2913",1,
"43332",0,"2913",1,
"43410",0,"2914",1,
"43420",0,"2914",1,
"43430",0,"2914",1,
"43510",0,"2915",1,
"43520",0,"2915",1,
"43530",0,"2915",1,
"43540",0,"2915",1,
"43550",0,"2915",1,
"43560",0,"2915",1,
"43570",0,"2915",1,
"43580",0,"2915",1,
"43911",0,"2919",1,
"43912",0,"2919",1,
"43913",0,"2919",1,
"43914",0,"2919",1,
"43915",0,"2919",1,
"43921",0,"2919",1,
"43922",0,"2919",1,
"43923",0,"2919",1,
"43924",0,"2919",1,
"43931",0,"2919",1,
"43932",0,"2919",1,
"43933",0,"2919",1,
"43934",0,"2919",1,
"43935",0,"2919",1,
"43941",0,"2919",1,
"43942",0,"2919",1,
"43943",0,"2919",1,
"43944",0,"2919",1,
"43949",0,"2919",1,
"44110",0,"2921",1,
"44120",0,"2921",1,
"44130",0,"2921",1,
"44140",0,"2921",1,
"44150",0,"2921",1,
"44160",0,"2921",1,
"44170",0,"2921",1,
"44180",0,"2921",1,
"44190",0,"2921",1,
"44211",0,"2922",1,
"44212",0,"2922",1,
"44213",0,"2922",1,
"44214",0,"2922",1,
"44215",0,"2922",1,
"44216",0,"2922",1,
"44217",0,"2922",1,
"44218",0,"2922",1,
"44221",0,"2922",1,
"44222",0,"2922",1,
"44231",0,"2922",1,
"44232",0,"2922",1,
"44240",0,"2922",1,
"44251",0,"2922",1,
"44252",0,"2922",1,
"44253",0,"2922",1,
"44254",0,"2922",1,
"44255",0,"2922",1,
"44310",0,"2923",1,
"44320",0,"2923",1,
"44411",0,"2924",1,
"44412",0,"2924",1,
"44421",0,"2924",1,
"44422",0,"2924",1,
"44423",0,"2924",1,
"44424",0,"2924",1,
"44425",0,"2924",1,
"44426",0,"2924",1,
"44427",0,"2924",1,
"44428",0,"2924",1,
"44429",0,"2924",1,
"44430",0,"2924",1,
"44440",0,"2924",1,
"44450",0,"2924",1,
"44461",0,"2924",1,
"44462",0,"2924",1,
"44511",0,"2925",1,
"44512",0,"2925",1,
"44513",0,"2925",1,
"44514",0,"2925",1,
"44515",0,"2925",1,
"44516",0,"2925",1,
"44517",0,"2925",1,
"44521",0,"2925",1,
"44522",0,"2925",1,
"44523",0,"2925",1,
"44611",0,"2926",1,
"44612",0,"2926",1,
"44613",0,"2926",1,
"44614",0,"2926",1,
"44621",0,"2926",1,
"44622",0,"2926",1,
"44623",0,"2926",1,
"44630",0,"2926",1,
"44640",0,"2926",1,
"44710",0,"2927",1,
"44720",0,"2927",1,
"44730",0,"2927",1,
"44740",0,"2927",1,
"44750",0,"2899",1,
"44760",0,"2927",1,
"44811",0,"2930",1,
"44812",0,"2930",1,
"44813",0,"2930",1,
"44814",0,"2926",1,
"44815",0,"2930",1,
"44816",0,"2930",1,
"44817",0,"2930",1,
"44818",0,"2930",1,
"44821",0,"2930",1,
"44822",0,"2930",1,
"44823",0,"2812",1,
"44824",0,"2930",1,
"44825",0,"2812",1,
"44826",0,"2930",1,
"44831",0,"2930",1,
"44832",0,"2930",1,
"44833",0,"2812",1,
"44911",0,"2929",1,
"44912",0,"2929",1,
"44913",0,"2929",1,
"44914",0,"2929",1,
"44915",0,"2929",1,
"44916",0,"2929",1,
"44917",0,"2929",1,
"44921",0,"2929",1,
"44922",0,"2929",1,
"44929",0,"2929",1,
"45110",0,"3000",1,
"45120",0,"3000",1,
"45130",0,"3000",1,
"45140",0,"3000",1,
"45150",0,"3000",1,
"45160",0,"3000",1,
"45170",0,"3000",1,
"45180",0,"3000",1,
"45210",0,"3000",1,
"45220",0,"3000",1,
"45230",0,"3000",1,
"45240",0,"3000",1,
